,channelId,channelTitle,video_id,title,thumbnail_url,tags,view_count,like_count,comment_count,duration
60,UCn4rEMqKtwBQ6-oEwbd4PcA,Sony Music South,2x6N5oonwBw,Kangal Irandal Lofi Flip | James Vasanthan | Jai | Sasi Kumar | Swati,https://i.ytimg.com/vi/2x6N5oonwBw/mqdefault.jpg,"['Sony Music South', 'Sony Music', 'Latest Song', 'Tamil song', 'Tamil Latest Song', 'Tamil Latest Songs 2020', 'Tamil Latest Songs 2021', 'Latest songs in Tamil', 'Songs in Tamil', 'Latest Tamil Movies', 'Tamil Movie Songs', 'Latest Video Songs Tamil', 'latest Tamil Love Songs', 'Latest Tamil Hit Songs', 'Telugu Songs 2021', 'New Tamil Songs', 'Songs in Telugu', 'Telugu Movie Songs', 'Video Songs Telugu', 'new Telugu Songs']",44545,1168,22,PT3M5S
61,UCn4rEMqKtwBQ6-oEwbd4PcA,Sony Music South,7uNwX_Kxh54,Viduthalai Part 1 - Kaattumalli Lofi Flip | Vetri Maaran | Ilaiyaraaja | Soori | Vijay Sethupathi,https://i.ytimg.com/vi/7uNwX_Kxh54/mqdefault.jpg,"['Sony Music South', 'Sony Music', 'Latest Song', 'Tamil song', 'Tamil Latest Song', 'Tamil Latest Songs 2020', 'Tamil Latest Songs 2021', 'Latest songs in Tamil', 'Songs in Tamil', 'Latest Tamil Movies', 'Tamil Movie Songs', 'Latest Video Songs Tamil', 'latest Tamil Love Songs', 'Latest Tamil Hit Songs', 'Telugu Songs 2021', 'New Tamil Songs', 'Songs in Telugu', 'Telugu Movie Songs', 'Video Songs Telugu', 'new Telugu Songs']",101056,2854,66,PT2M47S
62,UCn4rEMqKtwBQ6-oEwbd4PcA,Sony Music South,l5a8-xjXgpw,"En Kadhal Solla Lofi Flip | Yuvanshankar Raja | Karthi, Tamannaah",https://i.ytimg.com/vi/l5a8-xjXgpw/mqdefault.jpg,"['Sony Music South', 'Sony Music', 'Latest Song', 'Tamil song', 'Tamil Latest Song', 'Tamil Latest Songs 2020', 'Tamil Latest Songs 2021', 'Latest songs in Tamil', 'Songs in Tamil', 'Latest Tamil Movies', 'Tamil Movie Songs', 'Latest Video Songs Tamil', 'latest Tamil Love Songs', 'Latest Tamil Hit Songs', 'Telugu Songs 2021', 'New Tamil Songs', 'Songs in Telugu', 'Telugu Movie Songs', 'Video Songs Telugu', 'new Telugu Songs']",70325,3597,74,PT2M52S
63,UCn4rEMqKtwBQ6-oEwbd4PcA,Sony Music South,ofDHwumj-vo,"Po Nee Po Lofi Flip | 3 | Anirudh Ravichander | Dhanush, Shruti Haasan",https://i.ytimg.com/vi/ofDHwumj-vo/mqdefault.jpg,"['Sony Music South', 'Sony Music', 'Latest Song', 'Tamil song', 'Tamil Latest Song', 'Tamil Latest Songs 2020', 'Tamil Latest Songs 2021', 'Latest songs in Tamil', 'Songs in Tamil', 'Latest Tamil Movies', 'Tamil Movie Songs', 'Latest Video Songs Tamil', 'latest Tamil Love Songs', 'Latest Tamil Hit Songs', 'Telugu Songs 2021', 'New Tamil Songs', 'Songs in Telugu', 'Telugu Movie Songs', 'Video Songs Telugu', 'new Telugu Songs']",151220,8953,269,PT3M2S
64,UCn4rEMqKtwBQ6-oEwbd4PcA,Sony Music South,juQwkBYOVxQ,7 Aum Arivu  - Mun Andhi Lofi Flip | Harris Jayaraj | Suriya | Shruti Haasan | Tamil Lofi Songs,https://i.ytimg.com/vi/juQwkBYOVxQ/mqdefault.jpg,"['Sony Music South', 'Sony Music', 'Latest Song', 'Tamil song', 'Tamil Latest Song', 'Tamil Latest Songs 2020', 'Tamil Latest Songs 2021', 'Latest songs in Tamil', 'Songs in Tamil', 'Latest Tamil Movies', 'Tamil Movie Songs', 'Latest Video Songs Tamil', 'latest Tamil Love Songs', 'Latest Tamil Hit Songs', 'Telugu Songs 2021', 'New Tamil Songs', 'Songs in Telugu', 'Telugu Movie Songs', 'Video Songs Telugu', 'new Telugu Songs']",57704,2434,91,PT3M2S
65,UCn4rEMqKtwBQ6-oEwbd4PcA,Sony Music South,E2cGUmrWpSU,"Nuvvunte Naa Jathagaa LoFi Flip | Vikram, Amy Jackson | @ARRahman",https://i.ytimg.com/vi/E2cGUmrWpSU/mqdefault.jpg,"['I - Manoharudu - Nuvvunte Naa Jathagaa Video', 'I - Manoharudu', 'I - Manoharudu Songs', 'I - Manoharudu Videos', 'I - Manoharudu Trailers', 'I - Manoharudu Full Song', 'I - Manoharudu Full Video', 'I - Manoharudu HD Songs', 'I - Manoharudu HD Videos', 'I - Manoharudu Movie Songs', 'I - Manoharudu Movie Videos', 'I - Manoharudu Full HD Videos', 'I - Manoharudu Official Songs', 'telugu songs', '2021 telugu songs', 'latest telugu songs']",90703,4416,153,PT2M55S
355,UCn4rEMqKtwBQ6-oEwbd4PcA,Sony Music South,DYFORxnDHX8,"Adanga Maru - Saayaali Video Tamil | Jayam Ravi, Raashi Khanna | Sam CS",https://i.ytimg.com/vi/DYFORxnDHX8/mqdefault.jpg,"['Adanga Maru - Saayaali Lyric', 'Adanga Maru', 'Adanga Maru Songs', 'Adanga Maru Videos', 'Saayaali Trailers', 'Saayaali Full Song', 'Saayaali Full Video', 'Adanga Maru HD Songs', 'Saayaali HD Videos', 'Saayaali Movie Songs', 'Saayaali Movie Videos', 'Saayaali Official Songs', 'Saayaali', 'Saayaali Song', 'Saayaali Video', 'Saayaali HD Song', 'Saayaali Movie Song', 'Saayaali Movie Video', 'Saayaali Official Song', 'Saayaali Official Video', 'Sony Music']",14915533,109584,2007,PT5M15S
356,UCTNtRdBAiZtHP9w7JinzfUg,SonyMusicSouthVEVO,jdeObM_g_Qc,"Gorilla - Yaaradiyo Video | Jiiva, Shalini Pandey | Sam C.S.",https://i.ytimg.com/vi/jdeObM_g_Qc/mqdefault.jpg,"['Gorilla - Yaaradiyo Lyric', 'Gorilla', 'Gorilla Songs', 'Gorilla Videos', 'Yaaradiyo Trailers', 'Yaaradiyo Full Song', 'Yaaradiyo Full Video', 'Gorilla HD Songs', 'Yaaradiyo HD Videos', 'Yaaradiyo Movie Songs', 'Yaaradiyo Movie Videos', 'Yaaradiyo Full HD Videos', 'Yaaradiyo Official Songs', 'Yaaradiyo Official Videos', 'Yaaradiyo Official Movie Videos', 'Yaaradiyo Official HD Songs', 'Yaaradiyo Official HD Videos', 'Yaaradiyo Official Trailer', 'Yaaradiyo', 'Official', 'Full', 'HD']",8189101,97135,1189,PT3M33S
357,UCTNtRdBAiZtHP9w7JinzfUg,SonyMusicSouthVEVO,BZy7kg42uPo,"Mr. Chandramouli - Yedhedho Aanene  Video | Gautham Karthik, Regina | Sam C.S.",https://i.ytimg.com/vi/BZy7kg42uPo/mqdefault.jpg,"['Mr.Chandramouli - Yedhedho Aanene Video', 'Mr.Chandramouli', 'Mr.Chandramouli Songs', 'Mr Chandramouli Videos', 'Mr. Chandramouli Trailers', 'Mr. Chandramouli Full Song', 'Mr. Chandramouli Full Video', 'Mr Chandramouli HD Songs', 'Mr. Chandramouli HD Videos', 'Mr. Chandramouli Movie Songs', 'Mr. Chandramouli Movie Videos', 'Mr. Chandramouli Full HD Videos', 'Mr. Chandramouli Official Songs', 'Mr. Chandramouli Official Videos', 'Mr. Chandramouli Official Movie Videos', 'Mr.']",11697607,56908,2082,PT4M29S
358,UCn4rEMqKtwBQ6-oEwbd4PcA,Sony Music South,15HaRFIfUdo,"Gorilla - So Mitta Tamil Lyric | Jiiva, Shalini Pandey | Sam C.S.",https://i.ytimg.com/vi/15HaRFIfUdo/mqdefault.jpg,"['Gorilla - So Mitta Lyric', 'Gorilla', 'Gorilla Songs', 'Gorilla Videos', 'So Mitta Trailers', 'So Mitta Full Song', 'So Mitta Full Video', 'Gorilla HD Songs', 'So Mitta HD Videos', 'So Mitta Movie Songs', 'So Mitta Movie Videos', 'So Mitta Full HD Videos', 'So Mitta Official Songs', 'So Mitta Official Videos', 'So Mitta Official Movie Videos', 'So Mitta Official HD Songs', 'So Mitta Official HD Videos', 'So Mitta Official Trailer', 'So Mitta Official Full HD Videos', 'So', 'Mitta']",24422,466,14,PT3M20S
